0,1,2
2020-12-06 23:40:08,1335730776172879879,Abbot é monstro https://t.co/pqko10iuxT
2020-12-06 23:32:00,1335728731512561666,"RT @oficialharielmc: Não confunda cabeça erguida, com nariz empinado"
2020-12-06 22:41:25,1335715998847148033,RT @kaahmendes__: olha como o doka passa álcool em gel https://t.co/3Vgnew7P3O
2020-12-06 19:23:20,1335666150697553921,"RT @chinegrx_zl: “VIDA LIXO”- BLACK MONEY (Mainart, Crz &amp; Chinegrx) 

https://t.co/dF7stwI1uT https://t.co/aiSVd2AElb"
2020-12-06 19:22:36,1335665964378173443,"se essa noite eu morrer
não se apegue a dor
eu tô onde você for"
2020-12-06 19:22:00,1335665817061646338,@sidokeira ela ta emocional
2020-12-06 19:06:11,1335661836889432064,RT @chinegrx_zl: Denov - Se Essa Noite Eu Morrer Part. 3 Feat. Sidoka
2020-12-06 18:35:08,1335654021298860034,eu não te respondi mas você entendeu minha mensagem
2020-12-06 18:31:26,1335653090901585920,não dormir nunca ou ter o horário regulado?
2020-12-06 18:15:54,1335649180786831362,"@fcmabares_ como não cuidar dela 
essa menina vestiu uma luva rosa"
2020-12-06 18:11:01,1335647949997694979,@yvnkvino vo quere
2020-12-06 18:02:48,1335645884894351360,what money really worth if it aint love?
2020-12-06 17:58:52,1335644893717409798,marcelo um dos jogador mais brabo que admiro postou um storie com n me sinto mal mais nem to acreditando
2020-12-06 17:00:00,1335630080446509057,"RT @yvnkvino: Midnight Calls, 11/12 🌙☎️ https://t.co/2YvbjbQz2Y"
2020-12-06 16:59:55,1335630060909375492,30 dias ft. Sidoka https://t.co/S7HUJ8u9Kd
2020-12-06 16:40:16,1335625115883745280,RT @mybaddiez: cinéfilo ou não todo mundo conhece essa cena https://t.co/a6LBF8MfLj
2020-12-06 16:34:46,1335623730056278021,RT @pexande: to c sdd do sinuka
